feature,coefficient,abs_coefficient
categorical__state_NC,-1.6486766906218246,1.6486766906218246
categorical__industry_type_other,-1.2527411260896817,1.2527411260896817
categorical__state_OR,1.2383345527346992,1.2383345527346992
categorical__state_MA,1.107214300286432,1.107214300286432
categorical__industry_type_public_relations,-0.9542383057226103,0.9542383057226103
categorical__industry_type_semiconductor,0.9239150850061556,0.9239150850061556
categorical__state_CT,-0.8134688095811787,0.8134688095811787
categorical__industry_type_hardware,-0.7503764738757249,0.7503764738757249
categorical__industry_type_cleantech,-0.7489692442040835,0.7489692442040835
categorical__industry_type_ecommerce,-0.7022814192174307,0.7022814192174307
categorical__industry_type_analytics,0.6800602137884104,0.6800602137884104
categorical__industry_type_news,0.6585169615727069,0.6585169615727069
numeric__relationships,0.6509668355640803,0.6509668355640803
categorical__industry_type_music,0.6146371498627401,0.6146371498627401
categorical__industry_type_photo_video,0.5851513567700484,0.5851513567700484
categorical__state_MD,0.5798151378833449,0.5798151378833449
categorical__state_OH,-0.5745149673818684,0.5745149673818684
categorical__state_NY,0.5721630064225874,0.5721630064225874
categorical__state_CO,0.5665642701119069,0.5665642701119069
categorical__industry_type_search,-0.522890683607415,0.522890683607415
categorical__has_roundD_1,0.514559858007195,0.514559858007195
numeric__milestones,0.5128884891388752,0.5128884891388752
categorical__industry_type_health,0.5016605390183355,0.5016605390183355
categorical__has_roundD_0,-0.46888278285207097,0.46888278285207097
categorical__industry_type_travel,0.45220247997973806,0.45220247997973806
categorical__industry_type_manufacturing,-0.45114088986651524,0.45114088986651524
categorical__state_WI,-0.44618184981575887,0.44618184981575887
categorical__state_TX,-0.441626821485598,0.441626821485598
categorical__industry_type_biotech,0.43986492526836585,0.43986492526836585
categorical__state_CA,0.41386225466494503,0.41386225466494503
