id,name,status,is_acquired,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,age_first_milestone_year,age_last_milestone_year,avg_participants,state,industry_type,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,is_top500,funding_total_usd_log10,milestone_age_span,funding_age_span,has_milestone_age
c:6669,Bandsintown,acquired,1,2.2493,3.0027,3,3,375000,3,4.6685,6.7041,1.0,CA,music,0,1,0,0,0,0,0,5.574032425844793,2.0356000000000005,0.7534000000000001,1
c:16283,TriCipher,acquired,1,5.126,9.9973,9,4,40100000,1,7.0055,7.0055,4.75,CA,enterprise,1,0,0,1,1,1,1,7.603144383450468,0.0,4.871299999999999,1
c:65620,Plixi,acquired,1,1.0329,1.0329,5,1,2600000,2,1.4575,2.2055,4.0,CA,web,0,0,1,0,0,0,1,6.414973515007125,0.7479999999999998,0.0,1
c:42668,Solidcore Systems,acquired,1,3.1315,5.3151,5,3,40000000,1,6.0027,6.0027,3.3333,CA,software,0,0,0,1,1,1,1,7.602060002185325,0.0,2.1836,1
c:65806,Inhale Digital,closed,0,0.0,1.6685,2,2,1300000,1,0.0384,0.0384,1.0,CA,games_video,1,1,0,0,0,0,1,6.113943686379387,0.0,1.6685,1
c:22898,Matisse Networks,closed,0,4.5452,4.5452,3,1,7500000,1,5.0027,5.0027,3.0,CA,network_hosting,0,0,0,1,0,0,1,6.875061321297627,0.0,0.0,1
c:16191,RingCube Technologies,acquired,1,1.7205,5.211,6,3,26000000,2,3.0,6.6082,1.6667,CA,software,1,0,1,1,0,0,1,7.414973364674451,3.6082,3.4905000000000004,1
c:5192,ClairMail,acquired,1,1.6466,6.7616,25,3,34100000,3,5.6055,7.3616,3.5,CA,finance,0,0,1,1,0,1,1,7.532754391728406,1.7561,5.114999999999999,1
c:1043,VoodooVox,acquired,1,3.5863,11.1123,13,3,9650000,4,8.0055,9.9945,4.0,MA,mobile,1,0,1,0,0,1,1,6.9845273583484,1.9890000000000008,7.526,1
c:498,Doostang,acquired,1,1.6712,4.6849,14,3,5750000,4,2.9178,6.1151,1.0,CA,web,1,1,1,0,0,0,1,6.7596679202190995,3.1973,3.0137,1
c:3949,Zong,acquired,1,4.6274,9.4493,22,3,27500000,3,10.1342,10.6493,1.0,CA,mobile,0,0,1,1,0,0,1,7.439332709622789,0.5151000000000003,4.821899999999999,1
c:4829,Center'd,closed,0,1.0849,5.3370000000000015,8,5,10400000,2,-0.6164,4.6082,1.75,CA,web,1,1,1,0,0,0,1,7.017033381057863,5.2246,4.252100000000001,1
c:30290,Resonant Vibes,closed,0,4.9041,4.9041,0,1,350000,0,,,1.0,KY,web,1,0,0,0,0,0,0,5.54406928518988,,0.0,0
c:1491,drop.io,acquired,1,0.0192,2.4356,15,3,9950000,3,0.7945,4.3781,2.3333,NY,education,0,0,1,1,1,0,1,6.99782312439341,3.5835999999999997,2.4164,1
c:15645,Stratavia,acquired,1,4.6658,8.9973,12,5,10700000,1,8.8384,8.8384,2.5,CO,software,0,0,1,1,0,0,1,7.029383818273477,0.0,4.331499999999999,1
c:54177,Invicta Networks,closed,0,6.6082,6.6082,0,1,200000,0,,,1.0,VA,public_relations,1,0,0,0,0,0,0,5.301032167130962,,0.0,0
c:16770,QSecure,closed,0,2.5863,6.7644,8,5,49000000,1,5.5014,5.5014,3.5,CA,security,1,0,1,1,1,1,1,7.690196088891666,0.0,4.178100000000001,1
c:107,MeeVee,acquired,1,4.5918,7.1726,7,4,25000000,3,-0.4986,12.6795,3.5,CA,games_video,0,0,1,1,1,1,1,7.397940026043816,13.1781,2.5808,1
c:50727,SinglePlatform,acquired,1,0.7425,1.5808,10,3,4575000,3,1.2849,3.0027,5.0,NY,web,0,1,1,0,0,0,1,6.660391193330212,1.7178,0.8382999999999999,1
c:26368,Bling Nation,closed,0,2.5014,2.8301,13,2,28000000,3,3.0877,3.4932,1.0,CA,enterprise,0,0,1,1,0,0,1,7.447158046852736,0.40549999999999997,0.3287,1
c:22291,Metreos Corporation,acquired,1,2.2137,3.7863,8,2,4355000,3,4.0877,9.4986,1.5,TX,software,0,1,1,0,0,0,0,6.638988259066858,5.4109,1.5726000000000004,1
c:17857,Hidden City Games,closed,0,3.8329,3.8329,3,1,15000000,1,3.7507,3.7507,2.0,WA,other,0,0,0,1,0,0,1,7.176091288008646,0.0,0.0,1
c:15888,Neopolitan Networks,closed,0,5.4904,5.4904,1,1,3170000,1,0.0,0.0,2.0,CA,web,0,0,1,0,0,0,0,6.501059399219144,0.0,0.0,1
c:10751,Pixelpipe,closed,0,-1.0,3.3151,4,2,2300000,3,3.6959,5.6629999999999985,2.0,CA,mobile,0,1,1,0,0,0,0,6.36172802484124,1.9670999999999985,4.3151,1
c:458,EventVue,closed,0,0.2521,0.337,5,2,455000,0,,,4.5,CO,public_relations,0,1,1,0,0,0,1,5.658012351149431,,0.08490000000000003,0
c:45525,BridgePort Networks,acquired,1,4.8411,4.8411,3,1,13000000,1,1.0,1.0,4.0,IL,software,0,0,0,0,1,0,1,7.113943385714103,0.0,0.0,1
c:3193,Scalent Systems,acquired,1,4.0603,4.0603,7,1,15000000,1,3.0027,3.0027,4.0,CA,public_relations,0,0,0,0,1,0,1,7.176091288008646,0.0,0.0,1
c:28456,IQ Engines,acquired,1,4.0685,4.0685,2,1,3800000,3,3.4192,5.2301,2.0,CA,photo_video,0,0,0,1,0,0,1,6.579783710904817,1.8109000000000002,0.0,1
c:36920,"RetailMeNot, Inc.",acquired,1,2.5068,4.5315,37,5,299500000,2,4.9315,5.6767,1.75,TX,web,1,0,1,0,1,0,1,8.476396828175396,0.7452000000000005,2.0247,1
c:35712,Mophie,acquired,1,1.189,1.189,5,1,1000000,3,2.189,7.7753,2.0,CA,hardware,1,0,0,0,0,0,1,6.0000004342942646,5.5863,0.0,1
c:21492,Airship Ventures,closed,0,1.3534,2.1644,3,2,10500000,1,4.5178,4.5178,2.0,CA,other,0,0,1,1,0,0,1,7.021189340431316,0.0,0.8110000000000002,1
c:28768,Lockdown Networks,acquired,1,4.1534,5.1671,6,2,8600000,1,3.0,3.0,1.5,WA,public_relations,1,0,0,1,0,0,1,6.934498501742923,0.0,1.0136999999999992,1
c:27741,eMinor,closed,0,-0.1671,2.0192,9,2,5000000,0,,,2.5,NC,software,0,0,1,1,0,0,1,6.698970091194907,,2.1863,0
c:150658,Karma,acquired,1,0.0,0.8685,3,2,2304999,2,0.4137,2.1671,5.0,CA,mobile,1,0,0,0,0,0,1,6.362670929725667,1.7534,0.8685,1
c:34338,Zipano,closed,0,0.0822,0.0822,2,1,25000,0,,,1.0,PA,security,0,1,0,0,0,0,0,4.397957380103888,,0.0,0
c:45111,Entertainment Media Works,closed,0,2.6575,2.6575,1,1,4000000,1,0.0,0.0,1.0,NY,software,0,0,0,1,0,0,1,6.6020600999015695,0.0,0.0,1
c:3178,Elastra,closed,0,0.6192,1.5945,8,2,14600000,3,1.0,4.3315,2.0,CA,software,0,0,1,1,0,0,1,7.164352885530634,3.3315,0.9753000000000001,1
c:35402,RPO,closed,0,1.063,5.7014,0,3,44000000,0,,,4.5,CA,hardware,0,0,0,1,1,0,1,7.643452686356516,,4.6384,0
c:22856,Fotomoto,acquired,1,0.1671,2.6493,10,3,1822922,3,0.6082,4.7507,2.3333,CA,ecommerce,0,1,1,0,0,0,1,6.260768324507219,4.1425,2.4822,1
c:1224,Peer39,acquired,1,0.0,5.9041,18,7,29915001,5,3.8411,7.1370000000000005,2.75,NY,advertising,1,1,1,1,1,0,1,7.475889036213296,3.2959000000000005,5.9041,1
c:1234,Vitrue,acquired,1,0.0,4.8027,26,4,33000000,5,3.7205,7.6164,3.0,GA,enterprise,0,0,1,1,1,0,1,7.518513953038326,3.8958999999999997,4.8027,1
c:149809,Trendslide,acquired,1,0.0,0.5836,9,2,125000,2,0.5836,0.5945,1.0,NH,mobile,0,1,0,0,0,0,0,5.096913487350014,0.01090000000000002,0.5836,1
c:13733,PublicEarth,closed,0,0.1041,2.3863,7,2,4000000,2,2.3315,2.7918,1.0,CA,travel,1,0,1,0,0,0,1,6.6020600999015695,0.4602999999999997,2.2822,1
c:39106,Azaleos,acquired,1,3.4904,3.4904,10,1,10000000,3,5.6603,8.3425,2.0,WA,enterprise,0,0,0,0,1,0,1,7.000000043429446,2.682199999999999,0.0,1
c:5306,Efficient Frontier,acquired,1,4.6658,4.6658,25,1,6000000,4,8.7425,10.2247,3.0,CA,advertising,0,0,0,0,1,0,1,6.7781513227660515,1.4822000000000006,0.0,1
c:16303,NetDevices,acquired,1,2.6247,2.6247,4,1,25000000,0,,,5.0,CA,software,0,0,0,1,0,0,1,7.397940026043816,,0.0,0
c:43188,Go Try It On,acquired,1,0.926,2.9534,2,3,3750000,3,0.8329,2.7425,2.0,NY,fashion,0,1,1,0,0,0,1,6.574031383539565,1.9096000000000002,2.0273999999999996,1
c:33507,Performable,acquired,1,0.2466,0.2466,9,1,3000000,2,1.1178,1.663,1.0,MA,software,0,0,1,0,0,0,1,6.477121399484465,0.5452000000000001,0.0,1
c:68157,Appstores.com,acquired,1,0.189,1.189,6,2,1155000,2,1.3562,1.6575,9.5,CA,software,0,1,0,0,0,0,1,6.062582360240539,0.3012999999999999,1.0,1
c:2395,Fortify Software,acquired,1,3.2082,3.2082,11,1,10000000,2,5.2548,7.8822,2.0,CA,software,0,0,0,0,0,1,1,7.000000043429446,2.6273999999999997,0.0,1
c:38220,iCurrent,acquired,1,2.5836,2.5836,5,1,3000000,1,2.0,2.0,1.0,CA,web,0,0,1,0,0,0,1,6.477121399484465,0.0,0.0,1
c:49815,AisleBuyer,acquired,1,1.8932,2.4466,4,2,11500000,3,2.0,3.2767,1.0,MA,mobile,0,0,0,0,0,0,1,7.060697878118348,1.2767,0.5534000000000001,1
c:249,Indeed,acquired,1,0.7479,0.7479,12,1,5000000,5,4.0493,8.3233,3.0,TX,web,0,0,1,0,0,0,1,6.698970091194907,4.274,0.0,1
c:22027,Colubris Networks,acquired,1,5.1863,6.8137,9,2,29000000,1,7.3342,7.3342,5.0,MA,public_relations,1,0,0,0,0,1,1,7.462398012874628,0.0,1.6273999999999997,1
c:109,Mashery,acquired,1,0.6712,6.2329,37,6,34700000,4,4.0493,7.5973,5.0,CA,enterprise,1,1,1,1,1,1,1,7.540329487306565,3.548,5.5617,1
c:43948,Transparency Software,closed,0,1.1863,3.4986,0,2,12050000,0,,,2.0,CA,software,1,0,1,0,0,0,1,7.080987082951921,,2.3123000000000005,0
c:765,Viewdle,acquired,1,2.1644,4.7616,13,3,12000000,2,4.0027,6.7534,2.0,CA,analytics,1,0,1,1,0,0,1,7.07918128223883,2.7507,2.5971999999999995,1
c:19257,Enclarity,acquired,1,4.1041,4.1041,18,1,5500000,1,1.9151,1.9151,2.0,CA,consulting,0,0,0,0,1,0,1,6.74036276845687,0.0,0.0,1
c:25827,Virsto Software,acquired,1,1.989,4.1534,10,3,24000000,4,2.8986,5.2575,3.3333,CA,software,0,0,1,1,0,0,1,7.380211259807209,2.3589,2.1644000000000005,1
c:5932,Handmark,acquired,1,5.2027,6.189,6,2,10000000,2,7.5068,12.8932,4.5,MO,mobile,0,0,1,1,0,0,1,7.000000043429446,5.3864,0.9863,1
c:35157,Viacor,closed,0,2.7836,10.9507,10,3,19009671,1,-1.9151,-1.9151,2.0,MA,biotech,0,0,0,1,0,0,1,7.278974623450452,0.0,8.1671,1
c:8596,Carbonetworks,closed,0,3.4986,3.4986,6,1,5000000,1,3.0,3.0,1.0,CA,cleantech,0,0,1,0,0,0,1,6.698970091194907,0.0,0.0,1
c:19861,SchemaLogic,acquired,1,4.0466,9.3041,2,5,18914576,1,6.0027,6.0027,3.0,WA,enterprise,1,0,0,0,1,0,1,7.276796633304152,0.0,5.2575,1
c:45114,Skyway Software,closed,0,6.3726,6.3726,0,1,4000000,0,,,3.0,FL,software,1,0,0,0,0,0,0,6.6020600999015695,,0.0,0
c:23533,CardStar,acquired,1,1.3259999999999998,2.7836,5,3,2030882,2,1.6740000000000002,3.1342,3.0,MA,software,0,0,1,0,0,0,1,6.307684904242809,1.4601999999999997,1.4576,1
c:25325,Makani Power,acquired,1,2.6438,2.6438,4,1,5000000,2,0.0,7.3918,1.0,CA,cleantech,0,0,0,1,0,0,1,6.698970091194907,7.3918,0.0,1
c:8351,Myrio,closed,0,1.0877,1.0877,5,1,20500000,0,,,4.0,WA,software,1,0,0,0,0,0,1,7.3117538822408505,,0.0,0
c:10392,Intela,acquired,1,3.9616,6.5205,4,2,13250000,4,4.5781,7.6877,2.0,CO,advertising,1,0,0,0,0,0,0,7.122215911049768,3.1096000000000004,2.5589000000000004,1
c:26128,Sana Security,acquired,1,7.2548,7.2548,7,1,12000000,1,7.0055,7.0055,2.0,CA,security,0,0,0,0,0,0,1,7.07918128223883,0.0,0.0,1
c:2808,Sportgenic,acquired,1,1.3342,3.0247,9,3,11489687,2,3.0219,3.337,3.3333,CA,advertising,0,1,1,1,0,0,1,7.060308235675398,0.31510000000000016,1.6905000000000001,1
c:10581,Lolapps,acquired,1,0.6795,0.6795,15,1,4000000,3,2.9178,4.2274,3.0,CA,web,0,0,1,0,0,0,1,6.6020600999015695,1.3096,0.0,1
c:190214,Behavio,acquired,1,-0.0301,-0.0301,3,1,355000,1,0.1369999999999999,0.1369999999999999,1.0,CA,software,0,1,0,0,0,0,0,5.550229576418109,0.0,0.0,1
c:1674,Infinity Box,acquired,1,0.0,0.2466,10,2,118000,3,2.4164,5.3151,1.5,FL,web,0,1,0,0,0,0,1,5.071885687752241,2.8987000000000003,0.2466,1
c:170,adBrite,acquired,1,1.6685,9.337,17,4,40400000,3,7.3808,10.474,1.6667,CA,advertising,0,0,1,1,1,1,1,7.606381375860468,3.0932000000000004,7.6685,1
c:27740,Texert,closed,0,1.8055,1.8055,1,1,3000000,0,,,1.0,TX,software,0,0,1,0,0,0,1,6.477121399484465,,0.0,0
c:46186,Mendocino Software,closed,0,2.6986,4.0027,2,2,19700000,1,1.0,1.0,4.0,CA,software,1,0,0,1,0,0,1,7.294466248206998,0.0,1.3041,1
c:43162,QuikCycle,closed,0,9.1671,9.1973,0,2,17800000,0,,,1.0,CA,software,1,0,0,0,0,0,1,7.250420026707459,,0.03020000000000067,0
c:43233,Instagram,acquired,1,0.011,2.0986,12,3,57500000,3,3.0904,3.7836,4.0,CA,photo_video,0,1,1,1,0,0,1,7.759667852242578,0.6932,2.0875999999999997,1
c:1498,Motionbox,acquired,1,0.6658,3.0384,10,3,17200000,5,2.0,5.0548,2.6667,NY,games_video,0,0,1,1,1,0,1,7.2355284721572275,3.0548,2.3726000000000003,1
c:31514,AccelGolf,closed,0,-0.5836,1.3425,4,7,457282,2,0.0,1.5479,1.0,MA,mobile,1,1,0,0,0,0,1,5.660185056304306,1.5479,1.9261,1
c:58944,MoPub,acquired,1,-0.0219,2.0329,11,4,18500000,3,2.3151,3.1644,2.25,CA,mobile,0,1,1,1,0,0,1,7.267171751878391,0.8492999999999999,2.0548,1
c:40197,DNP Green Technology,closed,0,2.0466,2.0466,2,1,12000000,0,,,6.0,NJ,cleantech,0,0,1,0,0,0,1,7.07918128223883,,0.0,0
c:51023,Abound Solar,closed,0,3.5123,3.9562,5,2,510000000,3,3.9534,4.8356,2.5,CO,cleantech,1,0,0,0,0,0,1,8.707570176949494,0.8822000000000005,0.44389999999999974,1
c:13168,Trovix,acquired,1,3.9342,4.6822,3,2,18250000,1,4.0027,4.0027,2.5,CA,search,0,0,1,1,0,0,1,7.261262892589451,0.0,0.7479999999999998,1
c:649,Thumbplay,acquired,1,2.1616,5.6384,13,4,41500019,5,3.8329,7.6932,4.0,NY,music,0,0,0,0,1,0,1,7.6180483060105875,3.8603,3.4768,1
c:52694,Plethora Technology,closed,0,5.4411,5.4411,1,1,1000000,0,,,3.0,WV,software,0,0,1,0,0,0,0,6.0000004342942646,,0.0,0
c:3080,DailyStrength,acquired,1,1.1288,1.1288,7,1,5000000,2,1.0,2.6767,1.0,CA,web,0,0,1,0,0,0,1,6.698970091194907,1.6766999999999999,0.0,1
c:28424,Danotek Motion Technologies,closed,0,7.8877,10.6658,2,3,42700000,1,0.4137,0.4137,3.6667,MI,cleantech,1,0,0,1,0,0,1,7.6304278851958545,0.0,2.778100000000001,1
c:280611,Yub,closed,0,0.8822,0.8822,7,1,12000000,0,,,9.0,CA,ecommerce,1,0,0,0,0,0,1,7.07918128223883,,0.0,0
c:30537,SNAPin Software,acquired,1,2.526,3.1041,5,2,22300000,2,3.0027,9.126,4.5,WA,software,0,0,0,1,1,0,1,7.348304882523249,6.1232999999999995,0.5781000000000001,1
c:14656,Azuro,acquired,1,4.0027,7.8712,5,2,10000000,1,0.1616,0.1616,4.0,CA,semiconductor,1,0,0,1,0,0,1,7.000000043429446,0.0,3.8685,1
c:1766,ARPU,closed,0,1.1671,4.6658,1,3,15564591,0,,,3.5,DC,advertising,1,0,0,1,1,0,1,7.192137740857211,,3.4987,0
c:16938,BookFresh,acquired,1,2.5726,2.5726,7,1,500000,2,2.4795,4.6685,5.0,CA,web,0,1,0,0,0,0,1,5.698970872924114,2.189,0.0,1
c:83265,Singly,acquired,1,0.1151,1.3397,24,2,8950000,2,1.8329,2.6712,7.0,CA,analytics,0,0,1,0,0,0,1,6.9518230838404325,0.8382999999999998,1.2246,1
c:23136,TxVia,acquired,1,1.7479,4.8192,8,4,55350000,2,4.0027,4.8192,4.0,NY,finance,0,0,1,1,1,1,1,7.743117633061074,0.8165000000000004,3.0713000000000004,1
c:54066,Blue Vector Systems,closed,0,3.7233,3.7233,1,1,4000000,0,,,3.0,CA,public_relations,0,0,0,1,0,0,1,6.6020600999015695,,0.0,0
c:17219,Open Kernel Labs,acquired,1,1.6986,6.5151,3,5,10764323,3,3.2849,4.9315,2.0,IL,software,1,0,1,0,0,0,1,7.031986761304133,1.6465999999999998,4.8165000000000004,1
c:23234,Elanti Systems,closed,0,1.4082,1.4082,1,1,5500000,1,0.0,0.0,3.0,NJ,software,1,0,0,0,0,0,1,6.74036276845687,0.0,0.0,1
c:70586,Astrid,acquired,1,4.2849,4.2849,7,1,400000,2,2.4164,5.5151,3.0,CA,social,0,1,0,0,0,0,1,5.60206107706281,3.0987000000000005,0.0,1
c:26612,Nordic Windpower,closed,0,0.7507,3.0137,3,3,54000000,0,,,2.6667,CA,cleantech,1,0,0,0,1,0,1,7.732393767865458,,2.263,0
c:57923,Visiprise,closed,0,20.8055,20.8055,2,1,32000000,0,,,7.0,GA,software,0,0,0,1,0,0,1,7.505149991891608,,0.0,0
c:58133,Hubspan,acquired,1,5.789,5.789,1,1,13000000,0,,,4.0,WA,software,0,0,0,0,0,1,1,7.113943385714103,,0.0,0
c:5587,iConclude,acquired,1,0.0849,1.2712,5,3,12500000,0,,,2.3333,WA,software,1,0,1,1,0,0,1,7.096910047751614,,1.1863000000000001,0
c:38338,41st Parameter,acquired,1,2.3507,8.2822,16,4,38064570,2,1.0027,8.2849,3.0,CA,security,1,0,0,1,1,1,1,7.580520939517939,7.2822000000000005,5.9315,1
c:4622,Aardvark,acquired,1,-0.4959,1.2548,21,2,6000000,2,2.1726,4.6,4.0,CA,web,0,1,1,0,0,0,1,6.7781513227660515,2.4273999999999996,1.7507,1
c:202,Hotelicopter,closed,0,2.4658,4.8329,4,2,5000000,6,0.5863,5.6164,1.0,VA,web,0,0,1,1,0,0,0,6.698970091194907,5.030099999999999,2.3671,1
