column,dtype,missing_count,missing_pct,unique_values
Unnamed: 0,int64,0,0.0,923
state_code,str,0,0.0,35
latitude,float64,0,0.0,652
longitude,float64,0,0.0,651
zip_code,str,0,0.0,382
id,str,0,0.0,922
city,str,0,0.0,221
Unnamed: 6,str,493,53.41,252
name,str,0,0.0,922
labels,int64,0,0.0,2
founded_at,str,0,0.0,217
closed_at,str,588,63.71,202
first_funding_at,str,0,0.0,585
last_funding_at,str,0,0.0,680
age_first_funding_year,float64,0,0.0,634
age_last_funding_year,float64,0,0.0,756
age_first_milestone_year,float64,152,16.47,471
age_last_milestone_year,float64,152,16.47,585
relationships,int64,0,0.0,41
funding_rounds,int64,0,0.0,9
funding_total_usd,int64,0,0.0,505
milestones,int64,0,0.0,8
state_code.1,str,1,0.11,35
is_CA,int64,0,0.0,2
is_NY,int64,0,0.0,2
is_MA,int64,0,0.0,2
is_TX,int64,0,0.0,2
is_otherstate,int64,0,0.0,2
category_code,str,0,0.0,35
is_software,int64,0,0.0,2
is_web,int64,0,0.0,2
is_mobile,int64,0,0.0,2
is_enterprise,int64,0,0.0,2
is_advertising,int64,0,0.0,2
is_gamesvideo,int64,0,0.0,2
is_ecommerce,int64,0,0.0,2
is_biotech,int64,0,0.0,2
is_consulting,int64,0,0.0,2
is_othercategory,int64,0,0.0,2
object_id,str,0,0.0,922
has_VC,int64,0,0.0,2
has_angel,int64,0,0.0,2
has_roundA,int64,0,0.0,2
has_roundB,int64,0,0.0,2
has_roundC,int64,0,0.0,2
has_roundD,int64,0,0.0,2
avg_participants,float64,0,0.0,59
is_top500,int64,0,0.0,2
status,str,0,0.0,2
