model,feature,importance
decision_tree,numeric__relationships,0.5578620568031254
decision_tree,numeric__avg_participants,0.13981730313959934
decision_tree,numeric__milestones,0.13509740854441585
decision_tree,numeric__funding_total_usd,0.05935659226373542
decision_tree,numeric__age_first_funding_year,0.04681553017638389
decision_tree,numeric__age_last_funding_year,0.043726850139945164
decision_tree,numeric__age_first_milestone_year,0.01732425893279475
decision_tree,categorical__industry_type_messaging,0.0
decision_tree,categorical__industry_type_real_estate,0.0
decision_tree,categorical__industry_type_public_relations,0.0
decision_tree,categorical__industry_type_photo_video,0.0
decision_tree,categorical__industry_type_other,0.0
decision_tree,categorical__industry_type_news,0.0
decision_tree,categorical__industry_type_network_hosting,0.0
decision_tree,categorical__industry_type_music,0.0
decision_tree,categorical__industry_type_mobile,0.0
decision_tree,categorical__industry_type_health,0.0
decision_tree,categorical__industry_type_medical,0.0
decision_tree,categorical__industry_type_manufacturing,0.0
decision_tree,categorical__industry_type_security,0.0
decision_tree,categorical__industry_type_hardware,0.0
decision_tree,categorical__industry_type_games_video,0.0
decision_tree,categorical__industry_type_finance,0.0
decision_tree,categorical__industry_type_fashion,0.0
decision_tree,categorical__industry_type_enterprise,0.0
decision_tree,categorical__industry_type_search,0.0
decision_tree,categorical__industry_type_software,0.0
decision_tree,categorical__industry_type_semiconductor,0.0
decision_tree,categorical__has_roundA_0,0.0
decision_tree,categorical__is_top500_0,0.0
random_forest,numeric__relationships,0.18767941796737064
random_forest,numeric__milestones,0.11026588201308236
random_forest,numeric__age_last_milestone_year,0.10478013817589832
random_forest,numeric__funding_total_usd,0.08511029181656239
random_forest,numeric__age_first_milestone_year,0.07943724332607943
random_forest,numeric__avg_participants,0.06165757148864177
random_forest,numeric__age_last_funding_year,0.0578337756406796
random_forest,numeric__age_first_funding_year,0.053462286009521395
random_forest,categorical__is_top500_1,0.041354236642216616
random_forest,categorical__is_top500_0,0.035230896488622127
random_forest,numeric__funding_rounds,0.03093221596568405
random_forest,categorical__has_roundB_0,0.01613111254605305
random_forest,categorical__has_roundB_1,0.013594538420083771
random_forest,categorical__has_roundA_0,0.010586034426810652
random_forest,categorical__has_roundC_0,0.010134689954977823
random_forest,categorical__has_VC_0,0.010118056072689402
random_forest,categorical__has_roundC_1,0.010116861199343562
random_forest,categorical__has_roundA_1,0.010104000747333133
random_forest,categorical__has_roundD_0,0.010034543362717656
random_forest,categorical__has_roundD_1,0.008150143868815128
random_forest,categorical__state_CA,0.007900897353877064
random_forest,categorical__has_VC_1,0.007811740298807008
random_forest,categorical__state_MA,0.006363017896910347
random_forest,categorical__has_angel_0,0.005759101143457567
random_forest,categorical__has_angel_1,0.005042390117944681
random_forest,categorical__industry_type_web,0.003487113859749223
random_forest,categorical__state_NY,0.002956214956844393
random_forest,categorical__industry_type_software,0.0028127718285251412
random_forest,categorical__industry_type_enterprise,0.0019879105756788603
random_forest,categorical__industry_type_mobile,0.0016924450494117374
extra_trees,numeric__milestones,0.11757588077213399
extra_trees,categorical__is_top500_0,0.11540199141148919
extra_trees,categorical__is_top500_1,0.10373469480661031
extra_trees,numeric__relationships,0.08291423665008057
extra_trees,categorical__has_roundB_1,0.05771131868317298
extra_trees,categorical__has_roundB_0,0.05524217693651956
extra_trees,categorical__has_roundD_0,0.03935614951536197
extra_trees,numeric__age_last_milestone_year,0.03649203653624745
extra_trees,categorical__has_roundD_1,0.03571431994257816
extra_trees,categorical__has_roundA_1,0.035388497069581616
extra_trees,categorical__has_roundA_0,0.031248687075878207
extra_trees,numeric__funding_rounds,0.028527303290855403
extra_trees,categorical__has_roundC_1,0.026067948788111778
extra_trees,categorical__has_roundC_0,0.02371438087249188
extra_trees,categorical__has_VC_0,0.021017757912141534
extra_trees,numeric__avg_participants,0.020556380829484248
extra_trees,categorical__has_VC_1,0.019031672220816816
extra_trees,categorical__state_MA,0.017643508283602973
extra_trees,numeric__age_first_milestone_year,0.015550697182952924
extra_trees,numeric__age_first_funding_year,0.012308960099152558
extra_trees,categorical__state_CA,0.012002714547206453
extra_trees,categorical__has_angel_0,0.011689941868915752
extra_trees,numeric__age_last_funding_year,0.01107517451671396
extra_trees,categorical__industry_type_web,0.011045593902698216
extra_trees,categorical__has_angel_1,0.009608858175658113
extra_trees,categorical__industry_type_software,0.007182241659189119
extra_trees,categorical__industry_type_enterprise,0.006101634812398146
extra_trees,categorical__state_NY,0.004566468827373753
extra_trees,numeric__funding_total_usd,0.00429786522287294
extra_trees,categorical__industry_type_mobile,0.004174598870197192
adaboost,numeric__relationships,0.3609908873876886
adaboost,numeric__age_first_funding_year,0.18354876429481823
adaboost,numeric__age_last_milestone_year,0.12239163631936346
adaboost,numeric__funding_total_usd,0.11348665824185397
adaboost,numeric__milestones,0.10832517181426597
adaboost,numeric__avg_participants,0.05152414146191502
adaboost,categorical__is_top500_0,0.037475887203919464
adaboost,categorical__is_top500_1,0.022256853276175232
adaboost,numeric__age_first_milestone_year,0.0
adaboost,categorical__industry_type_semiconductor,0.0
adaboost,categorical__industry_type_search,0.0
adaboost,categorical__industry_type_real_estate,0.0
adaboost,categorical__industry_type_public_relations,0.0
adaboost,categorical__industry_type_photo_video,0.0
adaboost,categorical__industry_type_other,0.0
adaboost,categorical__industry_type_news,0.0
adaboost,categorical__industry_type_network_hosting,0.0
adaboost,categorical__industry_type_music,0.0
adaboost,categorical__industry_type_mobile,0.0
adaboost,categorical__industry_type_messaging,0.0
adaboost,categorical__industry_type_medical,0.0
adaboost,categorical__industry_type_manufacturing,0.0
adaboost,categorical__industry_type_health,0.0
adaboost,categorical__industry_type_hardware,0.0
adaboost,categorical__industry_type_games_video,0.0
adaboost,categorical__industry_type_finance,0.0
adaboost,categorical__industry_type_fashion,0.0
adaboost,categorical__industry_type_security,0.0
adaboost,categorical__industry_type_social,0.0
adaboost,categorical__state_AZ,0.0
gradient_boosting,numeric__relationships,0.3026914667181115
gradient_boosting,numeric__funding_total_usd,0.1268817635455787
gradient_boosting,numeric__age_first_funding_year,0.10776115734132778
gradient_boosting,numeric__age_last_milestone_year,0.080806113080454
gradient_boosting,numeric__milestones,0.07026298862230618
gradient_boosting,numeric__avg_participants,0.05328561457462823
gradient_boosting,numeric__age_first_milestone_year,0.03987034604223353
gradient_boosting,numeric__age_last_funding_year,0.031006838706663997
gradient_boosting,categorical__industry_type_other,0.019148939378549935
gradient_boosting,categorical__state_TX,0.01432513032310807
gradient_boosting,numeric__funding_rounds,0.013782583420691477
gradient_boosting,categorical__state_MA,0.010656674987834862
gradient_boosting,categorical__industry_type_public_relations,0.010106880391749111
gradient_boosting,categorical__is_top500_1,0.00931856815761639
gradient_boosting,categorical__is_top500_0,0.009286083089913721
gradient_boosting,categorical__state_NC,0.008995120934209424
gradient_boosting,categorical__industry_type_semiconductor,0.007484098542982151
gradient_boosting,categorical__industry_type_hardware,0.006839756948302657
gradient_boosting,categorical__state_IL,0.00631863423093629
gradient_boosting,categorical__industry_type_news,0.005987117340510651
gradient_boosting,categorical__industry_type_ecommerce,0.005567563357370201
gradient_boosting,categorical__industry_type_cleantech,0.005184173182038389
gradient_boosting,categorical__has_roundD_0,0.004757984407424037
gradient_boosting,categorical__state_WI,0.004518595622773274
gradient_boosting,categorical__industry_type_automotive,0.0038919421061478793
gradient_boosting,categorical__has_roundC_0,0.0030775741264652563
gradient_boosting,categorical__has_roundD_1,0.0029007562907438908
gradient_boosting,categorical__industry_type_search,0.002888581162021301
gradient_boosting,categorical__industry_type_software,0.002815851965601868
gradient_boosting,categorical__state_CO,0.0027783577862944596
