feature,coefficient,abs_coefficient
categorical__state_NC,-1.5102218810953185,1.5102218810953185
categorical__state_OR,1.3907886145032402,1.3907886145032402
categorical__industry_type_other,-1.2922671837843103,1.2922671837843103
categorical__state_MA,0.9560732550131193,0.9560732550131193
categorical__industry_type_public_relations,-0.9286892598416429,0.9286892598416429
categorical__industry_type_semiconductor,0.8971746796490345,0.8971746796490345
categorical__industry_type_hardware,-0.7873570821549886,0.7873570821549886
categorical__state_CT,-0.7573559239512847,0.7573559239512847
categorical__industry_type_music,0.7154336642109071,0.7154336642109071
categorical__industry_type_cleantech,-0.7114788089793611,0.7114788089793611
categorical__industry_type_analytics,0.6987097643805911,0.6987097643805911
categorical__industry_type_ecommerce,-0.657726755207284,0.657726755207284
numeric__relationships,0.6377132645151792,0.6377132645151792
categorical__industry_type_news,0.6064228968357562,0.6064228968357562
categorical__state_OH,-0.6003416553813248,0.6003416553813248
categorical__industry_type_health,0.5811654650916676,0.5811654650916676
categorical__state_MD,0.5769581858686796,0.5769581858686796
categorical__industry_type_search,-0.5649502159065473,0.5649502159065473
categorical__industry_type_photo_video,0.5645204396315252,0.5645204396315252
numeric__milestones,0.5052624730675963,0.5052624730675963
categorical__state_CO,0.5017453957252356,0.5017453957252356
categorical__state_NY,0.5014352768553006,0.5014352768553006
categorical__has_roundD_1,0.47663644685772544,0.47663644685772544
categorical__industry_type_manufacturing,-0.46839530469250756,0.46839530469250756
categorical__industry_type_biotech,0.46693249585432517,0.46693249585432517
categorical__has_roundD_0,-0.46519034167698126,0.46519034167698126
categorical__state_TX,-0.4503535106889715,0.4503535106889715
categorical__state_IL,-0.43973682040953177,0.43973682040953177
categorical__industry_type_automotive,-0.43676024399980745,0.43676024399980745
categorical__is_top500_1,0.3981774175748444,0.3981774175748444
