model,feature,importance
decision_tree,numeric__relationships,0.5526942118585144
decision_tree,numeric__avg_participants,0.1392786161989548
decision_tree,numeric__milestones,0.13457690637433925
decision_tree,numeric__funding_total_usd,0.059127903679591455
decision_tree,numeric__age_first_funding_year,0.04663515969176479
decision_tree,numeric__age_last_funding_year,0.04353524188722115
decision_tree,numeric__age_first_milestone_year,0.017257512172315807
decision_tree,categorical__industry_type_software,0.006894448137298301
decision_tree,categorical__industry_type_medical,0.0
decision_tree,categorical__industry_type_photo_video,0.0
decision_tree,categorical__industry_type_other,0.0
decision_tree,categorical__industry_type_news,0.0
decision_tree,categorical__industry_type_network_hosting,0.0
decision_tree,categorical__industry_type_music,0.0
decision_tree,categorical__industry_type_mobile,0.0
decision_tree,categorical__industry_type_messaging,0.0
decision_tree,categorical__industry_type_hardware,0.0
decision_tree,categorical__industry_type_manufacturing,0.0
decision_tree,categorical__industry_type_health,0.0
decision_tree,categorical__industry_type_real_estate,0.0
decision_tree,categorical__industry_type_games_video,0.0
decision_tree,categorical__industry_type_finance,0.0
decision_tree,categorical__industry_type_fashion,0.0
decision_tree,categorical__industry_type_enterprise,0.0
decision_tree,categorical__industry_type_education,0.0
decision_tree,categorical__industry_type_public_relations,0.0
decision_tree,categorical__industry_type_social,0.0
decision_tree,categorical__industry_type_search,0.0
decision_tree,categorical__industry_type_security,0.0
decision_tree,categorical__has_roundD_0,0.0
random_forest,numeric__relationships,0.19311570625230226
random_forest,numeric__age_last_milestone_year,0.11548407325744277
random_forest,numeric__milestones,0.10418723857348046
random_forest,numeric__age_first_milestone_year,0.0909627854037515
random_forest,numeric__funding_total_usd,0.08942201089719398
random_forest,numeric__avg_participants,0.07801338891017952
random_forest,numeric__age_last_funding_year,0.06985964153517527
random_forest,numeric__age_first_funding_year,0.05044759309332035
random_forest,numeric__funding_rounds,0.0377767230702037
random_forest,categorical__has_roundB_0,0.018233463455643983
random_forest,categorical__has_roundB_1,0.01582810039098908
random_forest,categorical__has_roundA_0,0.015039099721848281
random_forest,categorical__has_roundA_1,0.013374556896394007
random_forest,categorical__has_roundC_1,0.013301956888377625
random_forest,categorical__has_roundD_1,0.011614793116370377
random_forest,categorical__has_roundD_0,0.010478729711018046
random_forest,categorical__has_roundC_0,0.009864581031134613
random_forest,categorical__has_VC_0,0.009485806240600466
random_forest,categorical__state_CA,0.008667782753222619
random_forest,categorical__has_VC_1,0.008096403991725096
random_forest,categorical__has_angel_0,0.005675862726836321
random_forest,categorical__has_angel_1,0.005652833247865243
random_forest,categorical__state_MA,0.005072808621979145
random_forest,categorical__industry_type_software,0.004531676105546653
random_forest,categorical__state_NY,0.0029804264242962813
random_forest,categorical__industry_type_web,0.0025975085899946192
random_forest,categorical__industry_type_enterprise,0.0022514646572707013
random_forest,categorical__industry_type_mobile,0.0014968961685866032
random_forest,categorical__state_TX,0.0012092159641841724
random_forest,categorical__industry_type_advertising,0.0011279487854301154
extra_trees,numeric__milestones,0.14162244007347005
extra_trees,numeric__relationships,0.11021958280016782
extra_trees,categorical__has_roundB_1,0.08936483567901295
extra_trees,categorical__has_roundB_0,0.06984830255269121
extra_trees,categorical__has_roundD_0,0.0520996485937594
extra_trees,categorical__has_roundA_0,0.048878307279251236
extra_trees,categorical__has_roundD_1,0.04549045779344276
extra_trees,categorical__has_roundA_1,0.04116517290632701
extra_trees,numeric__age_last_milestone_year,0.04063061745303238
extra_trees,categorical__has_roundC_1,0.037672297445918365
extra_trees,numeric__funding_rounds,0.03666135113877677
extra_trees,categorical__state_MA,0.03220842955857527
extra_trees,numeric__avg_participants,0.031920940947563
extra_trees,categorical__has_roundC_0,0.030711924267027256
extra_trees,numeric__age_first_milestone_year,0.01738643226248197
extra_trees,categorical__has_angel_1,0.017186334657569843
extra_trees,categorical__state_CA,0.016028170262828365
extra_trees,categorical__has_angel_0,0.015144644203478434
extra_trees,numeric__age_last_funding_year,0.013391811099388716
extra_trees,categorical__has_VC_1,0.013073391887941264
extra_trees,numeric__age_first_funding_year,0.013026989508553279
extra_trees,categorical__has_VC_0,0.01222569749798168
extra_trees,categorical__industry_type_software,0.009869580794298758
extra_trees,categorical__industry_type_enterprise,0.007983362462938622
extra_trees,categorical__state_NY,0.007431635389145928
extra_trees,numeric__funding_total_usd,0.006499025076284626
extra_trees,categorical__industry_type_web,0.006444060103132304
extra_trees,categorical__industry_type_public_relations,0.005813445527449546
extra_trees,categorical__state_TX,0.005556800277124379
extra_trees,categorical__industry_type_ecommerce,0.0048534053817415445
adaboost,numeric__relationships,0.3772704707349171
adaboost,numeric__age_first_funding_year,0.18120093639949267
adaboost,numeric__funding_total_usd,0.13421444477317349
adaboost,numeric__age_last_milestone_year,0.1266371737842902
adaboost,numeric__milestones,0.10859652790027556
adaboost,numeric__avg_participants,0.06702022882252064
adaboost,numeric__age_last_funding_year,0.005060217585330347
adaboost,categorical__industry_type_medical,0.0
adaboost,categorical__industry_type_public_relations,0.0
adaboost,categorical__industry_type_photo_video,0.0
adaboost,categorical__industry_type_other,0.0
adaboost,categorical__industry_type_news,0.0
adaboost,categorical__industry_type_network_hosting,0.0
adaboost,categorical__industry_type_music,0.0
adaboost,categorical__industry_type_mobile,0.0
adaboost,categorical__industry_type_messaging,0.0
adaboost,categorical__industry_type_hardware,0.0
adaboost,categorical__industry_type_manufacturing,0.0
adaboost,categorical__industry_type_health,0.0
adaboost,categorical__industry_type_search,0.0
adaboost,categorical__industry_type_games_video,0.0
adaboost,categorical__industry_type_finance,0.0
adaboost,categorical__industry_type_fashion,0.0
adaboost,categorical__industry_type_enterprise,0.0
adaboost,categorical__industry_type_education,0.0
adaboost,categorical__industry_type_real_estate,0.0
adaboost,categorical__industry_type_social,0.0
adaboost,categorical__industry_type_security,0.0
adaboost,categorical__industry_type_semiconductor,0.0
adaboost,categorical__has_roundD_0,0.0
