feature,type,missing_pct,mean,median,std,min,max,unique_values,top_value,top_share_pct
age_first_funding_year,quantitative,0.0,2.2356,1.4466,2.5104,-9.0466,21.8959,634,,
age_last_funding_year,quantitative,0.0,3.9315,3.5288,2.9679,-9.0466,21.8959,756,,
relationships,quantitative,0.0,7.7107,5.0,7.2658,0.0,63.0,41,,
funding_rounds,quantitative,0.0,2.3109,2.0,1.3909,1.0,10.0,9,,
funding_total_usd,quantitative,0.0,25419749.0921,10000000.0,189634364.4888,11000.0,5700000000.0,505,,
milestones,quantitative,0.0,1.8418,2.0,1.3226,0.0,8.0,8,,
age_first_milestone_year,quantitative,16.47,3.0554,2.5205,2.9771,-14.1699,24.6849,471,,
age_last_milestone_year,quantitative,16.47,4.7544,4.4767,3.2121,-7.0055,24.6849,585,,
avg_participants,quantitative,0.0,2.8386,2.5,1.8746,1.0,16.0,59,,
state,categorical,0.0,,,,,,35,CA,52.87
industry_type,categorical,0.0,,,,,,35,software,16.58
has_VC,categorical,0.0,,,,,,2,0,67.39
has_angel,categorical,0.0,,,,,,2,0,74.54
has_roundA,categorical,0.0,,,,,,2,1,50.81
has_roundB,categorical,0.0,,,,,,2,0,60.78
has_roundC,categorical,0.0,,,,,,2,0,76.71
has_roundD,categorical,0.0,,,,,,2,0,90.03
